MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
2XMM J122954.3+075613,12 29 54.36,+07 56 13.2,X,2012ApJ...756...27L,ULX?,2012ApJ...756...27L
[CHP2004] J122942.2+075702,12 29 42.2,+07 57 02,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  129,12 29 42.3,+07 57 02,O,2003ApJ...586..814M,Unknown,2003ApJ...586..814M
2XMM J122942.2+075701,12 29 42.29,+07 57 01.2,X,2012ApJ...756...27L,ULX?,2012ApJ...756...27L
[CHP2004] J122942.2+075702,12 29 42.2,+07 57 02,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  277,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[MKZ2003] OID  273,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[CHP2004] J122943.8+075715,12 29 43.8,+07 57 15,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122956.8+075728,12 29 56.755,+07 57 28.36,N,2003yCat.2246....0C,XB,2003yCat.2246....0C
CXOU J122941.0+075744,12 29 41.0,+07 57 44,,2011MNRAS.410.1655M,Candidate_BH,2011MNRAS.410.1655M
[CHP2004] J122941.0+075744,12 29 41.0,+07 57 44,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[SGT2004] J122940.99+075744.2,12 29 41.00,+07 57 44.7,,2000AJ....120.2928Z,GlCl,2000AJ....120.2928Z
[MKZ2003] OID  882,12 29 49.33,+07 57 53.7,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122949.3+075753,12 29 49.3,+07 57 53,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122938.7+075756,12 29 38.7,+07 57 56,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229516+075759,12 29 51.6,+07 57 59,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122945.7+075809,12 29 45.7,+07 58 09,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122951.7+075823,12 29 51.7,+07 58 23,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID    4,12 29 40.2,+07 58 30,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
CXOMKZ J1229402+075829,12 29 40.2,+07 58 29,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122941.5+075832,12 29 41.5,+07 58 32,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122944.1+075841,12 29 44.1,+07 58 41,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4336694+7.9779441,12 29 44.0807,+07 58 40.599,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
2XMM J122937.8+075845,12 29 37.790,+07 58 45.65,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[GLK96]  3289,12 29 37.79,+07 58 46.2,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122947.0+075847,12 29 47.0,+07 58 47,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4458773+7.9796141,12 29 47.0106,+07 58 46.611,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122942.0+075848,12 29 42.0,+07 58 48,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122949.0+075851,12 29 49.0,+07 58 51,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122934.4+075851,12 29 34.475,+07 58 51.69,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[CHP2004] J122941.4+075854,12 29 41.4,+07 58 54,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122941.4+075904,12 29 41.4,+07 59 04,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[H2009] NGC 4472  39,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
CXOU J122946.0+075915,12 29 46.07,+07 59 15.1,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[MKZ2003] OID  543,12 29 46.1,+07 59 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
CXOMKZ J1229458+075919,12 29 45.8,+07 59 19,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4406423+7.9887540,12 29 45.76,+07 59 19.4,O,2009ApJ...690..512H,GlCl,2009ApJ...690..512H
[JPB2009] 187.4493998+7.9885675,12 29 47.8560,+07 59 18.843,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122947.9+075919,12 29 47.9,+07 59 19,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4130884+7.9887370,12 29 39.1412,+07 59 19.453,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122939.1+075920,12 29 39.1,+07 59 20,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229505+075920,12 29 50.5,+07 59 20,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4422336+7.9895695,12 29 46.15,+07 59 22.4,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
CXOMKZ J1229466+075925,12 29 46.6,+07 59 25,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
